Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
Kenya,Africa,53881160.0,24411,1980.5,399.0,300.0,10444.0,1706.0,13568.0,44.0,453.0,7.0,335318.0,6223.0
Venezuela,South America,28427499.0,22299,1980.5,195.0,300.0,12146.0,1706.0,9958.0,42.0,784.0,7.0,1567431.0,55138.0
Nepal,Asia,29186486.0,21750,1980.5,65.0,300.0,15389.0,1706.0,6296.0,538.7768595041322,745.0,2.0,731977.0,25079.0
Austria,Europe,9011577.0,21696,1980.5,719.0,300.0,19596.0,1706.0,1381.0,25.0,2408.0,80.0,937275.0,104008.0
Costa Rica,North America,5098730.0,21070,1980.5,200.0,300.0,7038.0,1706.0,13832.0,103.0,4132.0,39.0,96110.0,18850.0
Ethiopia,Africa,115223736.0,20900,1980.5,365.0,300.0,9027.0,1706.0,11508.0,185.0,181.0,3.0,468814.0,4069.0
Australia,Australia/Oceania,25528864.0,19890,1980.5,255.0,300.0,10941.0,1706.0,8694.0,52.0,779.0,10.0,4631419.0,181419.0
El Salvador,North America,6489514.0,19126,1980.5,513.0,300.0,9236.0,1706.0,9377.0,509.0,2947.0,79.0,251271.0,38720.0
Czechia,Europe,10711019.0,17731,1980.5,390.0,300.0,12320.0,1706.0,5021.0,17.0,1655.0,36.0,728670.0,68030.0
Cameroon,Africa,26606188.0,17718,1980.5,391.0,300.0,15320.0,1706.0,2007.0,30.0,666.0,15.0,149000.0,5600.0
Ivory Coast,Africa,26437950.0,16447,1980.5,103.0,300.0,12484.0,1706.0,3860.0,538.7768595041322,622.0,4.0,104584.0,3956.0
S. Korea,Asia,51273732.0,14519,20.0,303.0,1.0,13543.0,42.0,673.0,18.0,283.0,6.0,1613652.0,31471.0
Denmark,Europe,5794279.0,14306,1980.5,617.0,300.0,12787.0,1706.0,902.0,2.0,2469.0,106.0,1654512.0,285542.0
Palestine,Asia,5112340.0,13398,1980.5,92.0,300.0,6907.0,1706.0,6399.0,538.7768595041322,2621.0,18.0,200280.0,39176.0
Bosnia and Herzegovina,Europe,3278650.0,13396,1980.5,384.0,300.0,7042.0,1706.0,5970.0,538.7768595041322,4086.0,117.0,147021.0,44842.0
Bulgaria,Europe,6942854.0,13014,1980.5,435.0,300.0,7374.0,1706.0,5205.0,47.0,1874.0,63.0,294087.0,42358.0
